date_added,hq,name,sector,symbol
2000-06-07,Seattle,Starbucks,Consumer Discretionary,SBUX
2003-03-14,Boston,State Street Corporation,Financials,STT
2022-12-22,"Fort Wayne, Indiana",Steel Dynamics,Materials,STLD
2019-12-23,Dublin,Steris,Health Care,STE
2000-12-12,"Kalamazoo, Michigan",Stryker Corporation,Health Care,SYK
2024-03-18,"San Jose, California",Supermicro,Information Technology,SMCI
2015-11-18,"Stamford, Connecticut",Synchrony Financial,Financials,SYF
2017-03-16,"Sunnyvale, California",Synopsys,Information Technology,SNPS
1986-12-31,Houston,Sysco,Consumer Staples,SYY
2019-07-15,"Bellevue, Washington",T-Mobile US,Communication Services,TMUS
2019-07-29,Baltimore,T. Rowe Price,Financials,TROW
2018-03-19,New York City,Take-Two Interactive,Communication Services,TTWO
2004-09-01,New York City,"Tapestry, Inc.",Consumer Discretionary,TPR
2022-10-12,Houston,Targa Resources,Energy,TRGP
1976-12-31,Minneapolis,Target Corporation,Consumer Staples,TGT
2011-10-17,"Galway, Ireland",TE Connectivity,Information Technology,TEL
2020-06-22,"Thousand Oaks, California",Teledyne Technologies,Information Technology,TDY
2020-09-21,"North Reading, Massachusetts",Teradyne,Information Technology,TER
2020-12-21,"Austin, Texas","Tesla, Inc.",Consumer Discretionary,TSLA
2001-03-12,Dallas,Texas Instruments,Information Technology,TXN
2024-11-26,Dallas,Texas Pacific Land Corporation,Energy,TPL
1978-12-31,"Providence, Rhode Island",Textron,Industrials,TXT
2004-08-03,"Waltham, Massachusetts",Thermo Fisher Scientific,Health Care,TMO
1985-09-30,"Framingham, Massachusetts",TJX Companies,Consumer Discretionary,TJX
2025-03-24,New York City,TKO Group Holdings,Communication Services,TKO
2025-07-18,"Ventura, California",Trade Desk (The),Communication Services,TTD
2014-01-24,"Brentwood, Tennessee",Tractor Supply,Consumer Discretionary,TSCO
2010-11-17,Dublin,Trane Technologies,Industrials,TT
2016-06-03,Cleveland,TransDigm Group,Industrials,TDG
2002-08-21,New York City,Travelers Companies (The),Financials,TRV
2021-01-21,"Westminster, Colorado",Trimble Inc.,Information Technology,TRMB
1997-12-04,"Charlotte, North Carolina",Truist Financial,Financials,TFC
2020-06-22,"Plano, Texas",Tyler Technologies,Information Technology,TYL
2005-08-10,"Springdale, Arkansas",Tyson Foods,Consumer Staples,TSN
1999-11-01,Minneapolis,U.S. Bancorp,Financials,USB
2023-12-18,San Francisco,Uber,Industrials,UBER
2016-03-07,"Highlands Ranch, Colorado","UDR, Inc.",Real Estate,UDR
2016-04-18,"Bolingbrook, Illinois",Ulta Beauty,Consumer Discretionary,ULTA
1957-03-04,"Omaha, Nebraska",Union Pacific Corporation,Industrials,UNP
2015-09-03,Chicago,United Airlines Holdings,Industrials,UAL
2002-07-22,"Sandy Springs, Georgia",United Parcel Service,Industrials,UPS
2014-09-20,"Stamford, Connecticut",United Rentals,Industrials,URI
1994-07-01,"Eden Prairie, Minnesota",UnitedHealth Group,Health Care,UNH
2014-09-20,"King of Prussia, Pennsylvania",Universal Health Services,Health Care,UHS
2002-12-20,San Antonio,Valero Energy,Energy,VLO
2009-03-04,Chicago,Ventas,Real Estate,VTR
2023-10-02,"Waltham, Massachusetts",Veralto,Industrials,VLTO
2006-02-01,"Reston, Virginia",Verisign,Information Technology,VRSN
2015-10-08,"Jersey City, New Jersey",Verisk Analytics,Industrials,VRSK
1983-11-30,New York City,Verizon,Communication Services,VZ
2013-09-23,Boston,Vertex Pharmaceuticals,Health Care,VRTX
2004-04-23,Pittsburgh,Viatris,Health Care,VTRS
2022-06-08,New York City,Vici Properties,Real Estate,VICI
2009-12-21,San Francisco,Visa Inc.,Financials,V
2024-05-08,"Irving, Texas",Vistra Corp,Utilities,VST
1999-06-30,"Birmingham, Alabama",Vulcan Materials Company,Materials,VMC
2019-12-05,"Greenwich, Connecticut",W. R. Berkley Corporation,Financials,WRB
1981-06-30,"Lake Forest, Illinois",W. W. Grainger,Industrials,GWW
